url,sku,SKU,nombre,id,categorias,precio_actual,precio_promocional,stock_actual,FEBRERO,MARZO,ABRIL,MAYO,Spend mayo,Spend Junio,JUNIO,JULIO,AGOSTO,ventas ecom,SPEND,ENE LOCALES,FEB LOCAL,MAR LOCAL,AB LOCALES,SUMADEVENTAS,IMAGEN,VALORIZADO,imagen_principal,otras_imagenes
https://gerf.com.ar/productos/Ojotas-Jasmine-Dorado-4455-153/,4455|153|35,4455|153,Ojotas Jasmine Dorado,254863809,CALZADOM|CalzadosdeMujer|Ojotas|VERTODO,$41.000,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/4455-153_1-809a5390d804d7f69717393068533724-1024-1024.jpg,"https://acdn-us.mitiendanube.com/stores/005/775/403/products/4455-153_2-f46c927381e37ec92317393068558729-1024-1024.jpg,https://acdn-us.mitiendanube.com/stores/005/775/403/products/4455-153_3-2feeef58feed4ac62517393068591261-1024-1024.jpg,https://acdn-us.mitiendanube.com/stores/005/775/403/products/4455-153_4-7bea7e18ff09dc18a417393068623647-1024-1024.jpg,https://acdn-us.mitiendanube.com/stores/005/775/403/products/4455-153_5-da789c6b6009c6b3a317393068650712-1024-1024.jpg"
https://gerf.com.ar/productos/Ojotas-Jasmine-Negro-Ii-de-Mujer-4455-19/,4455|19|35,4455|19,Ojotas Jasmine Negro Ii de Mujer,254863819,CALZADOM|CalzadosdeMujer|Ojotas|VERTODO,$41.000,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/4455-19_1-bf8583723aceed8e7e17393068710780-1024-1024.jpg,"https://acdn-us.mitiendanube.com/stores/005/775/403/products/4455-19_2-518ba00928bded475017393068738632-1024-1024.jpg,https://acdn-us.mitiendanube.com/stores/005/775/403/products/4455-19_3-90e28d168ae6bbf4fe17393068767663-1024-1024.jpg,https://acdn-us.mitiendanube.com/stores/005/775/403/products/4455-19_4-7aaa0de153b81307d317393068799733-1024-1024.jpg,https://acdn-us.mitiendanube.com/stores/005/775/403/products/4455-19_5-fd8efe90ba479d3dd717393068828390-1024-1024.jpg"
https://gerf.com.ar/productos/Ojotas-Jasmine-Gris-Claro-de-Mujer-4455-53/,4455|53|35,4455|53,Ojotas Jasmine Gris Claro de Mujer,254863821,CALZADOM|CalzadosdeMujer|Ojotas|VERTODO,$41.000,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,,
https://gerf.com.ar/productos/Ojotas-Jasmine-Nude-de-Mujer-4455-84/,4455|84|35,4455|84,Ojotas Jasmine Nude de Mujer,254863829,CALZADOM|CalzadosdeMujer|Ojotas|VERTODO,$41.000,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/4455-84_1-fdf01d2326b90c90a217393068859382-1024-1024.jpg,
https://gerf.com.ar/productos/Ojotas-Jasmine-Marron-Y-Negro-4455-108/,4455|108|35,4455|108,Ojotas Jasmine Marron Y Negro,254866572,CALZADOM|CalzadosdeMujer|Ojotas,$41.000,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/4455-108_1-4d5f7353865788d8ef17393099590197-1024-1024.png,https://acdn-us.mitiendanube.com/stores/005/775/403/products/4455-108_2-cffafa650f172d988917393099629618-1024-1024.png
https://gerf.com.ar/productos/Zapatillas-Cale-Verde-de-Hombre-81-30/,81|30|36,81|30,Zapatillas Cale Verde de Hombre,254865060,Ofertas|CALZADOH|CalzadodeHombre,$44.600,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/81-30_1-d3822216543e2ab6b117393075264700-1024-1024.jpg,
https://gerf.com.ar/productos/Zapatillas-Cale-Rosa-de-Hombre-81-80/,81|80|36,81|80,Zapatillas Cale Rosa de Hombre,254865077,Ofertas|CALZADOH|CalzadodeHombre,$44.600,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/81-80_1-3ff11bdec35f6c041f17392880074353-1024-1024.jpg,https://acdn-us.mitiendanube.com/stores/005/775/403/products/81-80_1-a346f7325413c95fd617393075296146-1024-1024.jpg
https://gerf.com.ar/productos/Zapatillas-Cale-Natural-de-Hombre-81-90/,81|90|36,81|90,Zapatillas Cale Natural de Hombre,254865097,Ofertas|CALZADOH|CalzadodeHombre,$44.600,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/81-90_1-c6517c0181a15692b617393075328451-1024-1024.jpg,
https://gerf.com.ar/productos/Zapatillas-Zeus-Blanco-Unisex-91-01/,91|01|35,91|01,Zapatillas Zeus Blanco Unisex,254865467,CALZADOH|CalzadodeHombre|Zapatillas,$39.560,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/91-01_1-85f70fbc9e68d492cf17393076984392-1024-1024.jpg,
https://gerf.com.ar/productos/Zapatillas-Zeus-Negro-Unisex-91-10/,91|10|35,91|10,Zapatillas Zeus Negro Unisex,254865485,CALZADOH|CalzadodeHombre|Zapatillas,$39.560,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/91-10_1-26689bbfe032a9592b17393077017073-1024-1024.jpg,
https://gerf.com.ar/productos/Zapatillas-Zeus-Azul-Unisex-91-20/,91|20|35,91|20,Zapatillas Zeus Azul Unisex,254865495,CALZADOH|CalzadodeHombre|Zapatillas,$39.560,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/91-20_1-a8d4c66d650e0449c417393077048339-1024-1024.jpg,
https://gerf.com.ar/productos/Zapatillas-Zeus-Rojo-Unisex-91-40/,91|40|35,91|40,Zapatillas Zeus Rojo Unisex,254865509,CALZADOH|CalzadodeHombre|Zapatillas,$39.560,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/91-40_1-c7e2cc9da64e0fc77117393077076992-1024-1024.jpg,
